 ,Raw EEG1,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG1,Raw EEG1,All 0.5-32Hz,Raw EEG1,Raw EEG1
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:02:22,0.097227429,1.16E-12,3.35E-13,2.23E-11,4.87E-12,33.23323071,1.887930174,2.18E-11,1.887930174,Animal 35
00:02:23,0.065302899,1.63E-12,4.35E-13,4.14E-11,1.53E-12,31.55775874,1.83886826,2.85E-11,1.83886826,Animal 35
00:02:24,0.038864509,2.15E-12,9.98E-13,2.36E-11,1.40E-12,31.54397428,1.655003339,3.12E-11,1.655003339,Animal 35
00:02:25,0.032511752,1.53E-12,4.33E-13,1.13E-11,6.14E-13,55.20440659,10.39398016,1.11E-11,10.39398016,Animal 35
00:02:26,0.046763942,3.27E-12,4.30E-13,9.33E-11,2.12E-12,31.2613221,1.715912171,6.61E-11,1.715912171,Animal 35
00:02:27,0.050321423,1.84E-12,3.07E-13,1.03E-11,7.22E-13,45.41475692,4.500706493,2.35E-11,4.500706493,Animal 35
00:02:28,0.028553989,1.39E-12,3.50E-13,2.28E-11,3.76E-13,33.11437758,1.688768969,1.26E-11,1.688768969,Animal 35
00:02:29,0.013850133,1.38E-12,4.47E-13,2.22E-11,3.27E-13,33.75279479,1.65146302,8.38E-12,1.65146302,Animal 35
00:02:30,0.027800647,1.11E-12,6.59E-13,2.54E-11,7.07E-13,43.79228176,2.246386422,2.00E-11,2.246386422,Animal 35
00:02:31,0.019857346,1.38E-12,2.14E-13,1.23E-11,1.24E-12,44.74097902,4.951228745,1.24E-11,4.951228745,Animal 35
00:02:32,0.0143618,3.51E-12,1.40E-12,6.46E-11,7.19E-13,29.64923816,2.069444417,5.59E-11,2.069444417,Animal 35
00:02:33,0.034764523,1.89E-12,4.54E-13,2.38E-11,3.42E-13,35.69161707,1.804900564,1.32E-11,1.804900564,Animal 35
00:02:34,0.023318688,4.14E-12,1.02E-12,1.60E-11,7.09E-13,45.85824755,3.718942894,4.25E-11,3.718942894,Animal 35
00:02:35,0.019237754,1.27E-12,5.22E-13,8.87E-11,5.51E-13,25.52413794,1.565578489,3.57E-11,1.565578489,Animal 35
00:02:36,0.038206133,1.45E-12,6.19E-13,5.93E-12,2.34E-12,49.9544047,6.272039309,3.05E-11,6.272039309,Animal 35
00:02:37,0.023571917,2.31E-12,9.88E-13,8.17E-11,9.65E-13,25.21962724,1.592585457,2.95E-11,1.592585457,Animal 35
00:02:38,0.014991632,2.64E-12,1.86E-12,9.87E-11,6.94E-13,23.13951545,1.529579545,8.87E-11,1.529579545,Animal 35
00:02:39,0.062152773,1.42E-12,3.34E-13,4.38E-11,1.13E-12,28.76412163,1.544114066,2.82E-11,1.544114066,Animal 35
