 ,Raw EEG2,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG2,Raw EEG2,All 0.5-32Hz,Raw EEG2,Raw EEG2
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
00:33.5,0.049056239,8.08E-14,1.98E-13,6.69E-11,4.35E-12,3.366166059,1.43842713,4.16E-11,1.746550871,616 back in recovery
00:34.0,0.070169264,8.19E-14,3.21E-13,1.23E-11,5.15E-13,2.898927972,1.389887252,3.57E-11,1.707358047,616 back in recovery
00:34.5,0.068568222,3.23E-13,2.07E-13,4.42E-11,1.02E-12,3.114887861,1.446545182,5.20E-11,1.751210491,616 back in recovery
00:35.0,0.069550765,1.16E-13,2.66E-13,1.44E-10,2.67E-12,3.42429973,1.517091673,2.07E-10,1.8125647,616 back in recovery
00:35.5,0.061327119,8.18E-14,1.98E-13,2.97E-12,7.51E-13,2.798698328,1.338851124,4.16E-12,1.665063162,616 back in recovery
00:36.0,0.078056536,2.12E-13,2.54E-13,1.78E-11,4.32E-13,2.873556909,1.380641909,4.23E-11,1.698872357,616 back in recovery
00:36.5,0.074593429,7.25E-14,1.18E-13,1.33E-10,4.18E-12,3.901125846,1.573597641,2.32E-10,1.87777414,616 back in recovery
00:37.0,0.070051173,1.39E-13,9.87E-14,8.68E-13,2.10E-13,2.820878617,1.349646331,6.10E-12,1.673973467,616 back in recovery
00:37.5,0.050839827,1.43E-13,9.34E-14,1.37E-11,1.23E-12,2.98934606,1.407258448,1.90E-11,1.722483759,616 back in recovery
00:38.0,0.040978301,1.21E-13,4.36E-13,1.49E-10,2.75E-12,5.036564679,3.132149101,2.24E-10,3.274303651,616 back in recovery
00:38.5,0.027828907,7.24E-14,1.34E-13,2.09E-11,3.14E-12,6.151763336,1.515764909,1.81E-11,1.845019892,616 back in recovery
00:39.0,0.015882433,7.68E-14,1.05E-14,3.86E-12,2.85E-13,3.914386639,2.315690366,8.54E-12,2.396066691,616 back in recovery
00:39.5,0.049481496,9.77E-14,1.32E-13,1.43E-10,3.28E-12,3.666370712,1.596476815,3.08E-10,1.882089845,616 back in recovery
00:40.0,0.032320176,4.82E-14,8.43E-14,6.02E-11,2.16E-12,3.735808378,1.598118422,8.95E-11,1.885134779,616 back in recovery
00:40.5,0.007845816,1.72E-13,1.59E-13,1.28E-11,7.14E-13,9.722581578,2.666359703,1.99E-11,2.698245996,616 back in recovery
00:41.0,0.021215358,2.43E-13,3.24E-13,1.06E-10,1.22E-11,5.356345415,2.458337599,2.39E-10,2.672204497,616 back in recovery
00:41.5,0.022814101,2.90E-13,6.09E-14,8.34E-12,6.93E-14,4.081747068,2.469621853,4.20E-11,2.48300286,616 back in recovery
00:42.0,0.060261006,1.69E-13,3.87E-14,1.12E-11,3.58E-13,2.836855933,1.365005061,9.66E-11,1.684515177,616 back in recovery
00:42.5,0.027791083,6.95E-13,3.19E-13,6.10E-11,9.20E-13,8.58465953,1.666729375,6.60E-11,2.052859793,616 back in recovery
00:43.0,0.020549249,1.14E-13,9.22E-14,1.13E-10,1.20E-12,3.716399487,1.67612573,2.28E-10,1.945314288,616 back in recovery
00:43.5,0.005698149,3.45E-13,1.27E-13,1.85E-11,2.19E-13,21.15591108,2.541539675,9.15E-12,2.600884483,616 back in recovery
00:44.0,0.020217928,5.28E-14,2.04E-13,1.34E-10,5.76E-12,4.858198498,2.788527932,2.51E-10,2.842896859,616 back in recovery
00:44.5,0.020105249,3.42E-13,2.06E-13,2.48E-12,3.08E-13,3.83417607,1.516526123,4.65E-12,1.812502882,616 back in recovery
00:45.0,0.053432264,1.55E-13,2.79E-13,2.46E-11,5.27E-13,2.753789596,1.287244853,3.73E-11,1.627942551,616 back in recovery
00:45.5,0.099060451,1.23E-13,1.47E-13,1.12E-10,3.15E-12,2.885358061,1.321465222,1.36E-10,1.661533374,616 back in recovery
00:46.0,0.139524202,1.35E-13,2.55E-13,3.40E-11,8.08E-13,2.809400292,1.344338532,9.32E-11,1.670220305,616 back in recovery
00:46.5,0.106220919,1.90E-13,5.43E-14,9.54E-12,1.04E-13,2.781093486,1.328557111,1.57E-11,1.658152334,616 back in recovery
00:47.0,0.083905183,7.61E-14,2.02E-13,1.11E-10,3.34E-12,3.701675636,1.60849324,1.88E-10,1.895504257,616 back in recovery
00:47.5,0.045727506,7.74E-14,1.57E-13,1.85E-11,3.68E-13,3.205912322,1.448447434,2.78E-11,1.75421453,616 back in recovery
00:48.0,0.047711099,8.12E-14,8.83E-14,4.26E-12,1.40E-13,2.770927144,1.321696603,8.14E-13,1.651219169,616 back in recovery
00:48.5,0.057163014,1.10E-13,5.08E-14,7.75E-11,2.19E-12,3.825046197,1.627663365,1.44E-10,1.917371808,616 back in recovery
00:49.0,0.053323974,1.78E-13,5.27E-14,1.15E-11,4.21E-13,2.818695952,1.339497429,4.51E-12,1.666278122,616 back in recovery
00:49.5,0.057869353,1.76E-13,1.08E-13,1.48E-10,3.86E-12,3.704449841,1.671416535,2.89E-10,1.941023197,616 back in recovery
00:50.0,0.018811459,7.53E-14,1.78E-13,2.09E-11,8.49E-13,3.571954215,1.555403644,1.01E-11,1.837358762,616 back in recovery
00:50.5,0.012052771,1.11E-13,1.23E-13,1.90E-11,5.61E-13,4.277163352,2.043679166,1.88E-11,2.244971926,616 back in recovery
00:51.0,0.021435338,1.51E-13,1.32E-13,1.32E-10,2.57E-12,4.07892124,1.855813482,2.09E-10,2.1605477,616 back in recovery
00:51.5,0.01439246,7.97E-14,8.80E-14,1.08E-11,2.70E-13,3.777426956,1.590205013,1.72E-11,1.859466414,616 back in recovery
00:52.0,0.083427456,1.27E-13,7.25E-14,4.82E-11,9.97E-13,3.301872563,1.497494249,1.53E-10,1.793300961,616 back in recovery
00:52.5,0.102023079,2.00E-13,1.40E-13,1.96E-10,4.68E-12,3.432576616,1.526575877,5.15E-10,1.819793994,616 back in recovery
00:53.0,0.037321255,2.17E-13,2.84E-13,1.88E-11,1.55E-13,2.9416159,1.424136375,2.68E-12,1.730504253,616 back in recovery
00:53.5,0.017186752,8.55E-13,3.19E-13,2.75E-11,1.09E-12,12.674507,1.817544636,7.42E-11,2.04199829,616 back in recovery
00:54.0,0.048634954,5.25E-14,1.17E-13,1.02E-10,4.92E-12,3.69361179,1.563047266,1.90E-10,1.851562822,616 back in recovery
00:54.5,0.057098174,1.75E-13,2.46E-13,1.99E-11,1.37E-12,3.320372408,1.431996115,6.22E-11,1.745538503,616 back in recovery
00:55.0,0.03599266,4.69E-13,2.62E-13,3.89E-11,9.50E-13,3.637528902,1.586494896,3.25E-11,1.866906844,616 back in recovery
00:55.5,0.051600568,2.39E-13,1.32E-13,6.63E-11,1.88E-12,3.445238769,1.480839319,1.06E-10,1.784488481,616 back in recovery
00:56.0,0.032059067,1.60E-13,1.14E-13,1.36E-11,1.08E-12,3.728193007,1.600779513,2.93E-11,1.886888641,616 back in recovery
00:56.5,0.016011343,1.13E-12,4.35E-14,7.73E-11,2.02E-12,5.299738873,3.011108282,1.43E-10,2.994074118,616 back in recovery
00:57.0,0.028242635,1.05E-13,8.66E-14,5.26E-11,7.27E-13,4.011663134,1.839704358,8.58E-11,2.132775467,616 back in recovery
00:57.5,0.015173472,3.04E-13,2.40E-13,2.83E-11,6.67E-13,6.184386054,2.141605721,2.15E-11,2.270426379,616 back in recovery
00:58.0,0.018716114,9.24E-14,5.35E-14,1.35E-10,4.51E-12,4.67680683,2.236917845,2.09E-10,2.487980543,616 back in recovery
00:58.5,0.008098935,1.94E-13,2.11E-13,1.60E-11,1.09E-12,9.529587661,3.153116962,2.40E-11,3.212801157,616 back in recovery
00:59.0,0.013493796,4.04E-13,2.82E-13,2.27E-11,5.69E-13,56.61163736,3.660981536,2.68E-11,3.528463585,616 back in recovery
00:59.5,0.020216311,2.15E-13,1.40E-13,2.87E-11,1.34E-12,22.74506415,3.77028989,2.87E-11,3.90772172,616 back in recovery
01:00.0,0.008761245,5.37E-14,4.26E-14,1.79E-11,1.49E-12,41.39721668,3.691090157,4.42E-11,3.626269979,616 back in recovery
01:00.5,0.020664364,7.46E-13,8.71E-14,3.92E-11,1.98E-12,29.54404506,3.812424384,3.19E-11,3.849561992,616 back in recovery
01:01.0,0.017290641,8.36E-14,1.80E-13,8.69E-11,1.82E-12,4.382871229,1.853691616,1.59E-10,2.171004955,616 back in recovery
01:01.5,0.014827323,1.35E-13,2.49E-13,4.45E-11,1.66E-12,5.409355861,2.798204126,8.52E-11,2.901636316,616 back in recovery
01:02.0,0.038118796,2.72E-13,2.36E-13,1.71E-12,1.63E-13,2.889529464,1.377644414,2.04E-11,1.696307997,616 back in recovery
01:02.5,0.035042604,1.29E-12,7.96E-14,4.00E-11,2.01E-12,5.082985701,1.529876173,4.73E-11,1.846701672,616 back in recovery
01:03.0,0.018363866,6.53E-14,1.44E-13,6.97E-11,3.50E-13,4.79184791,2.822881039,1.26E-10,2.795463054,616 back in recovery
01:03.5,0.027830599,1.46E-13,9.95E-14,2.55E-11,8.74E-13,5.041976047,1.477283109,3.20E-11,1.840425448,616 back in recovery
01:04.0,0.030394699,4.94E-13,1.17E-13,8.79E-12,2.92E-13,2.872031652,1.297417278,8.17E-12,1.63199049,616 back in recovery
01:04.5,0.034988824,1.05E-13,8.60E-14,3.10E-11,1.80E-12,5.129217401,1.333294817,3.78E-11,1.746766338,616 back in recovery
01:05.0,0.028921708,1.04E-13,9.76E-14,1.86E-11,3.89E-13,4.356181039,1.447665565,5.47E-11,1.771492611,616 back in recovery
01:05.5,0.06491686,4.41E-13,4.56E-14,6.70E-11,6.17E-13,3.364457131,1.356337399,8.58E-11,1.695961256,616 back in recovery
01:06.0,0.090350153,1.26E-13,4.00E-13,6.42E-11,1.78E-12,2.752341309,1.267979221,4.79E-11,1.618492398,616 back in recovery
01:06.5,0.059884139,1.40E-13,1.10E-13,4.09E-11,1.57E-12,3.644623967,1.458847577,5.89E-11,1.778392105,616 back in recovery
01:07.0,0.033771161,2.36E-13,2.44E-13,2.17E-11,9.37E-13,4.276987947,2.05863642,3.59E-11,2.291256109,616 back in recovery
01:07.5,0.017377095,3.47E-13,1.88E-13,1.18E-10,3.08E-12,5.763608561,3.48046651,1.90E-10,3.457712748,616 back in recovery
01:08.0,0.071975947,3.39E-14,1.08E-13,4.39E-11,8.95E-14,2.879803184,1.385550014,1.14E-10,1.702401712,616 back in recovery
01:08.5,0.061895815,7.91E-14,9.65E-14,1.59E-11,1.08E-12,3.138493547,1.423960648,3.00E-11,1.737005488,616 back in recovery
01:09.0,0.044305847,3.87E-13,7.71E-14,3.94E-11,3.26E-13,3.593535532,1.586662545,5.18E-11,1.866928601,616 back in recovery
01:09.5,0.048182299,9.59E-14,1.02E-13,6.69E-11,5.87E-13,3.446992282,1.53460102,1.19E-10,1.826189393,616 back in recovery
01:10.0,0.017380875,7.85E-14,1.73E-13,2.08E-11,2.19E-12,4.69577428,1.809022377,2.17E-11,2.12748986,616 back in recovery
01:10.5,0.008678048,4.17E-13,2.08E-13,1.39E-11,2.51E-13,10.8449003,1.700786959,1.13E-11,1.941429698,616 back in recovery
01:11.0,0.010654478,2.17E-13,1.88E-13,2.49E-11,8.04E-13,4.032857239,1.787687017,4.12E-11,2.075834582,616 back in recovery
01:11.5,0.013774118,1.03E-13,5.95E-14,1.68E-11,6.60E-13,4.857741231,2.66383583,6.31E-11,2.666002815,616 back in recovery
01:12.0,0.068138729,3.25E-13,5.25E-13,5.41E-11,1.81E-12,3.568805939,1.542173612,1.06E-10,1.831921903,616 back in recovery
01:12.5,0.068983827,6.75E-14,2.06E-13,3.78E-11,5.35E-13,2.911434972,1.379368917,4.21E-11,1.70156895,616 back in recovery
01:13.0,0.064098992,1.09E-13,3.83E-14,2.24E-12,9.29E-13,2.864274627,1.368033295,2.70E-11,1.688455901,616 back in recovery
01:13.5,0.011514606,7.84E-13,5.09E-14,5.55E-11,8.94E-13,21.8642781,2.415776313,6.83E-11,2.587068882,616 back in recovery
01:14.0,0.070993438,1.43E-13,9.46E-14,7.20E-11,8.06E-13,2.985776695,1.428633123,1.46E-10,1.736305811,616 back in recovery
01:14.5,0.086005996,8.64E-14,3.28E-14,4.65E-11,1.32E-12,3.04981451,1.432862336,9.60E-11,1.741575607,616 back in recovery
01:15.0,0.071108888,1.09E-13,2.54E-14,2.17E-11,5.31E-13,2.95784172,1.417174028,2.44E-11,1.728646785,616 back in recovery
01:15.5,0.056301942,5.75E-13,3.54E-13,1.07E-11,8.48E-13,2.92110358,1.401772454,1.87E-11,1.714599804,616 back in recovery
01:16.0,0.039883938,7.27E-14,3.84E-14,1.56E-11,5.75E-13,3.472108147,1.519091558,2.58E-11,1.814397145,616 back in recovery
01:16.5,0.019706303,9.82E-14,3.54E-14,7.96E-13,1.20E-13,3.251735134,1.42959104,2.72E-12,1.734147137,616 back in recovery
01:17.0,0.018628245,9.45E-13,3.75E-13,2.45E-11,1.17E-12,4.52284612,1.622740066,1.42E-10,1.899914892,616 back in recovery
01:17.5,0.081066133,2.27E-13,9.89E-14,1.55E-10,3.87E-12,4.052349548,2.250063966,3.73E-10,2.386635811,616 back in recovery
01:18.0,0.161833093,1.59E-13,1.96E-13,5.87E-12,2.40E-13,2.778415035,1.33178809,1.39E-10,1.659903708,616 back in recovery
01:18.5,0.114926912,4.29E-13,6.73E-14,4.69E-11,8.02E-13,2.728358588,1.287332134,5.90E-11,1.628373001,616 back in recovery
01:19.0,0.05547809,1.20E-13,1.21E-13,6.16E-11,2.48E-12,3.957800788,1.429743795,1.09E-10,1.756290071,616 back in recovery
01:19.5,0.01954997,8.03E-14,9.96E-14,1.21E-11,2.76E-13,4.401767215,2.58816025,2.51E-11,2.590637649,616 back in recovery
